@RUN EXCODE      TRNO RN CR EDAPS EDAPM B1DAPS B1DAPM B2DAPS B2DAPM B3DAPS B3DAPM B4DAPS B4DAPM B5DAPS B5DAPM B6DAPS B6DAPM B7DAPS B7DAPM B8DAPS B8DAPM B9DAPS B9DAPM B10DPS B10DPM B11DPS B11DPM B12DPS B12DPM B13DPS B13DPM B14DPS B14DPM B15DPS B15DPM B16DPS B16DPM   HWAMS   HWAMM   FWAMS   FWAMM LAIXS LAIXM L#SMS L#SMM BR#SS BR#SM CWAMS CWAMM VWAMS VWAMM HIAMS HIAMM HN%MS HN%MM VN%MS VN%MM CNAMS CNAMM HNAMS HNAMM HINMS HINMM
  15 UYON1901CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179     -99   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052  1906  8052  1906 0.572   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  16 UYOT1801CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179   11804   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052  8990  8052  8990 0.572 0.568   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  17 UYUB1901CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179    7827   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052  4651  8052  4651 0.572 0.627   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  18 UYUM1801CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179   10559   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052  5867  8052  5867 0.572 0.643   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  19 UYZA1901CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179    5084   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052  4651  8052  4651 0.572 0.522   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   1 UYAB1901CS     5  0 CS     8   -99    400    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   13106    8916   45852     -99   1.8   3.0 364.4 -99.0   2.7 -99.0  5845  4370  5845  4370 0.721 0.671   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   2 UYAG1701CS     5  0 CS     8   -99    400    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   13106   10763   45852     -99   1.8   3.0 364.4 -99.0   2.7 -99.0  5845 10451  5845 10451 0.721 0.507   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   3 UYAG1801CS     5  0 CS     8   -99    400    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   13106    8603   45852     -99   1.8   3.0 364.4 -99.0   2.7 -99.0  5845  8941  5845  8941 0.721 0.490   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   4 UYAG1901CS     5  0 CS     8   -99    400    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   13106   12410   45852     -99   1.8   3.0 364.4 -99.0   2.7 -99.0  5845 14292  5845 14292 0.721 0.465   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   5 UYIB1801CS     5  0 CS     8   -99    400    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   13106    9208   45852     -99   1.8   3.0 364.4 -99.0   2.7 -99.0  5845  7983  5845  7983 0.721 0.536   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
